Data Set 1:Time(s),Data Set 1:Illuminance(lux),Data Set 1:615 nm,Data Set 1:525 nm,Data Set 1:465 nm,Data Set 2:Time(s),Data Set 2:Illuminance(lux),Data Set 2:615 nm,Data Set 2:525 nm,Data Set 2:465 nm,Data Set 3:Time(s),Data Set 3:Illuminance(lux),Data Set 3:615 nm,Data Set 3:525 nm,Data Set 3:465 nm,Data Set 4:Time(s),Data Set 4:Illuminance(lux),Data Set 4:615 nm,Data Set 4:525 nm,Data Set 4:465 nm,Data Set 5:Time(s),Data Set 5:Illuminance(lux),Data Set 5:615 nm,Data Set 5:525 nm,Data Set 5:465 nm,Data Set 6:Time(s),Data Set 6:Illuminance(lux),Data Set 6:615 nm,Data Set 6:525 nm,Data Set 6:465 nm,Data Set 7:Time(s),Data Set 7:Illuminance(lux),Data Set 7:615 nm,Data Set 7:525 nm,Data Set 7:465 nm
,,,,,2.05,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,2.05,,0.000000,0.630206,1.116238
,,,,,2.10,,8.953220,8.192676,3.348713,,,,,,,,,,,,,,,,,,,,,2.10,,0.000000,0.630206,1.116238
,,,,,2.15,,8.953220,8.192676,3.348713,,,,,,,,,,,,,,,,,,,,,2.15,,0.000000,0.630206,1.116238
,,,,,2.20,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,2.20,,0.000000,0.630206,1.116238
,,,,,2.25,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,2.25,,0.000000,0.630206,1.116238
,,,,,2.30,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,2.30,,0.000000,0.630206,1.116238
,,,,,2.35,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,2.35,,0.000000,0.630206,1.116238
,,,,,2.40,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,2.40,,0.000000,0.630206,1.116238
,,,,,2.45,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,2.45,,0.000000,0.630206,1.116238
,,,,,2.50,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,2.50,,0.000000,0.630206,1.116238
,,,,,2.55,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,2.55,,0.000000,0.630206,1.116238
,,,,,2.60,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,2.60,,0.000000,0.630206,1.116238
,,,,,2.65,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,2.65,,0.000000,0.630206,1.116238
,,,,,2.70,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,2.70,,0.000000,0.630206,1.116238
,,,,,2.75,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,2.75,,0.000000,0.630206,1.116238
,,,,,2.80,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,2.80,,0.000000,0.630206,1.116238
,,,,,2.85,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,2.85,,0.000000,0.630206,1.116238
,,,,,2.90,,8.290018,8.402744,3.720792,,,,,,,,,,,,,,,,,,,,,2.90,,0.000000,0.630206,1.116238
,,,,,2.95,,8.290018,8.402744,3.720792,,,,,,,,,,,,,,,,,,,,,2.95,,0.000000,0.630206,1.116238
,,,,,3.00,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,3.00,,0.000000,0.630206,1.116238
,,,,,3.05,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,3.05,,0.000000,0.630206,1.116238
,,,,,3.10,,8.290018,8.402744,3.720792,,,,,,,,,,,,,,,,,,,,,3.10,,0.000000,0.630206,1.116238
,,,,,3.15,,8.290018,8.402744,3.720792,,,,,,,,,,,,,,,,,,,,,3.15,,0.000000,0.630206,1.116238
,,,,,3.20,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,3.20,,0.000000,0.630206,1.116238
,,,,,3.25,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,3.25,,0.000000,0.630206,1.116238
,,,,,3.30,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,3.30,,0.000000,0.630206,1.116238
,,,,,3.35,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,3.35,,0.000000,0.630206,1.116238
,,,,,3.40,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,3.40,,0.000000,0.630206,1.116238
,,,,,3.45,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,3.45,,0.000000,0.630206,1.116238
,,,,,3.50,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,3.50,,0.000000,0.630206,1.116238
,,,,,3.55,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,3.55,,0.000000,0.630206,1.116238
,,,,,3.60,,8.290018,8.402744,3.720792,,,,,,,,,,,,,,,,,,,,,3.60,,0.000000,0.630206,1.116238
,,,,,3.65,,8.290018,8.402744,3.720792,,,,,,,,,,,,,,,,,,,,,3.65,,0.000000,0.630206,1.116238
,,,,,3.70,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,3.70,,0.000000,0.630206,1.116238
,,,,,3.75,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,3.75,,0.000000,0.630206,1.116238
,,,,,3.80,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,3.80,,0.000000,0.630206,1.116238
,,,,,3.85,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,3.85,,0.000000,0.630206,1.116238
,,,,,3.90,,8.953220,8.192676,3.348713,,,,,,,,,,,,,,,,,,,,,3.90,,0.000000,0.630206,1.116238
,,,,,3.95,,8.953220,8.192676,3.348713,,,,,,,,,,,,,,,,,,,,,3.95,,0.000000,0.630206,1.116238
,,,,,4.00,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,4.00,,0.000000,0.630206,1.116238
,,,,,4.05,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,4.05,,0.000000,0.630206,1.116238
,,,,,4.10,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,4.10,,0.000000,0.630206,1.116238
,,,,,4.15,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,4.15,,0.000000,0.630206,1.116238
,,,,,4.20,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,4.20,,0.000000,0.630206,1.116238
,,,,,4.25,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,4.25,,0.000000,0.630206,1.116238
,,,,,4.30,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,4.30,,0.000000,0.630206,1.116238
,,,,,4.35,,8.455818,7.562469,4.092870,,,,,,,,,,,,,,,,,,,,,4.35,,0.000000,0.630206,1.116238
,,,,,4.40,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,4.40,,0.000000,0.630206,1.116238
,,,,,4.45,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,4.45,,0.000000,0.630206,1.116238
,,,,,4.50,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,4.50,,0.000000,0.630206,1.116238
,,,,,4.55,,8.787420,7.982607,4.837030,,,,,,,,,,,,,,,,,,,,,4.55,,0.000000,0.630206,1.116238
,,,,,4.60,,8.290018,8.402744,3.720792,,,,,,,,,,,,,,,,,,,,,4.60,,0.000000,0.630206,1.116238
,,,,,4.65,,8.290018,8.402744,3.720792,,,,,,,,,,,,,,,,,,,,,4.65,,0.000000,0.630206,1.116238
,,,,,4.70,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,4.70,,0.000000,0.630206,1.116238
,,,,,4.75,,7.792617,7.772538,4.464949,,,,,,,,,,,,,,,,,,,,,4.75,,0.000000,0.630206,1.116238
,,,,,4.80,,8.621619,7.772538,2.604553,,,,,,,,,,,,,,,,,,,,,4.80,,0.165800,0.210069,2.232475
,,,,,4.85,,8.621619,7.772538,2.604553,,,,,,,,,,,,,,,,,,,,,4.85,,0.165800,0.210069,2.232475
,,,,,4.90,,8.787420,6.932264,2.976634,,,,,,,,,,,,,,,,,,,,,4.90,,0.165800,0.210069,2.232475
,,,,,4.95,,8.787420,6.932264,2.976634,,,,,,,,,,,,,,,,,,,,,4.95,,0.165800,0.210069,2.232475
,,,,,5.00,,7.461017,7.352401,3.720792,,,,,,,,,,,,,,,,,,,,,5.00,,0.165800,0.210069,2.232475
,,,,,5.05,,7.461017,7.352401,3.720792,,,,,,,,,,,,,,,,,,,,,5.05,,0.165800,0.210069,2.232475
,,,,,5.10,,7.958418,13.234323,8.557821,,,,,,,,,,,,,,,,,,,,,5.10,,0.000000,0.840274,3.348712
,,,,,5.15,,7.958418,13.234323,8.557821,,,,,,,,,,,,,,,,,,,,,5.15,,0.000000,0.840274,3.348712
,,,,,5.20,,14.922033,22.057203,16.743563,,,,,,,,,,,,,,,,,,,,,5.20,,0.000000,1.050343,1.860396
,,,,,5.25,,14.922033,22.057203,16.743563,,,,,,,,,,,,,,,,,,,,,5.25,,0.000000,1.050343,1.860396
,,,,,5.30,,25.201658,30.880087,24.929306,,,,,,,,,,,,,,,,,,,,,5.30,,0.000000,0.840274,3.348712
,,,,,5.35,,25.201658,30.880087,24.929306,,,,,,,,,,,,,,,,,,,,,5.35,,0.000000,0.840274,3.348712
